objectid,description,date,creator,title,language,location,citation,subject,Automatic Tags,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0011,Journal Article,2014,"Macedo Nunes, Karliane; Izidoro da Silva, Renato; de Oliveira dos Santos Silva, José",Cinema indígena: de objeto a sujeito da produção cinematográfica no Brasil,pt,Brasil,,Cinema nacional; estudos culturais; Sateré-Mawé; cinema indígena.,,,Polis (Santiago),,0718-6568,,,173-204,38,13,,,,,,SCIELO:S0718-65682014000200009,,,,,,,,,,,,,,,,,,,,,,,,,,
db0013,Journal Article,2021,"Muzardo, Fabiane Tais","A fotografia para além do registro histórico: o trabalho social, pedagógico e artístico de Tina Modotti nas “Escuelas Libres de Agricultura”",pt,Brasil,,Tina Modotti; fotografia; México; arte; política,,"A década de 1920 no México foi marcada por intensa produção cultural. Tina Modotti e outros artistas das mais variadas áreas iniciaram um projeto que visava produzir uma arte que fosse pública, ou seja, que fosse feita pelo povo e para o povo. Nesse sentido, a arte mexicana dessa década é marcadamente política. Tina foi uma fotógrafa italiana que se mudou para o México no início dos anos 1920. Seu trabalho inclui fotografias de murais, camponeses, símbolos comunistas, manifestações de trabalhadores, plantas, arquitetura, caveiras e escolas agrícolas, dentre outras temáticas. Suas fotografias foram publicadas em inúmeros periódicos, desde revistas de arte até atas de criação dessas escolas. Este artigo analisa as fotografias de Tina que compõem as atas de criação e desenvolvimento das escolas agrícolas, entendendo-as como uma produção que possui, ao mesmo tempo, um sentido social, pedagógico e artístico.",TOPOI-REVISTA DE HISTORIA,,2237-101X,10.1590/2237-101X02204712,,544-569,47,22,,,,,,WOS:000684245300012,,,,,,,,,,,,,,,,,,,,,,,,,,
db0014,Journal Article,2010,"Sanfelice, Daniela; Bencke, Glayson A.; Azevedo, Marco A.; Rodrigues, Everton N. L.; Moura, Luciano A.; Araujo, Paula B.; Gastal, Hilda A. O.; Verrastro, Laura; Jardim, Marcia M. A.; Schwertner, Cristiano F.; Marques, Maria Aparecida L.; Drehmer, Cesar J.",Breve histórico da revista Iheringia Série Zoologia e seu impacto sobre o conhecimento da fauna neotropical recente,pt,Brasil,,,,,IHERINGIA SERIE ZOOLOGIA,,0073-4721,10.1590/S0073-47212010000400011,,363-367,4,100,,,,,,WOS:000290865700011,,,,,,,,,,,,,,,,,,,,,,,,,,
db0015,Journal Article,2024,"Felipe, Marcos Aurélio",Domínios do Cinema Indígena: a problemática do sujeito revisitada,pt,Brasil,,Cinema Indígena; Povos Originários; Filme Documentário; Contracolonialidade; Antropologia,,,Revista Brasileira de Estudos da Presença,,2237-2660,10.1590/2237-2660134450vs01,,e134450-e134450,1,14,,,,,,SCIELO:S2237-26602024000100204,,,,,,,,,,,,,,,,,,,,,,,,,,
db0016,Journal Article,2014,"Maio, Ana Maria Dantas de",O vínculo do jornalista com o ambiente expresso em um jornal local: uma análise de discurso envolvendo o Pantanal brasileiro,pt,Brasil,,Mídia local; Pantanal; comunicação; jornalismo de proximidade; análise de discurso,,,Observatorio (OBS*),,1646-5954,,,55-70,4,8,,,,,,SCIELO:S1646-59542014000400004,,,,,,,,,,,,,,,,,,,,,,,,,,
db0017,Journal Article,2019,"Giordan, Marcelo; Massi, Luciana","A revista Ciência Hoje das Crianças e o encaminhamento para carreiras científicas: uma análise do cronotopo da seção “Eu li, eu leio”",pt,Brasil,,Divulgação científica. Gênero discursivo. Cronotopia. Ensino de Ciências.,,"Neste artigo, analisamos a seção “Eu li, eu leio” da revista Ciência Hoje das Crianças valendo-nos dos conceitos de gênero discursivo e cronotopo de Bakhtin. Trata-se de uma seção comemorativa dos 30 anos da revista que publicou 22 histórias de leitores atuais e de ex-leitores ao longo de 2016. Consideramos o gênero discursivo de divulgação científica e sua variante para crianças como referências para identificar as variantes do gênero discursivo dessa seção, em particular, que mescla o formato de “Carta do Leitor” com a apresentação de trajetórias de sucesso profissional ou forte relação com a Ciência. A relação de interdependência tempo-espaço, analisada a partir do conceito de cronotopia, evidenciou as principais marcas da trajetória desses leitores, bem como os aspectos axiológicos implícitos da revista e o estereótipo do cientista e da relação com a Ciência.",Ciência & Educação (Bauru),,1980-850X,10.1590/1516-731320190040006,,927-944,4,25,,,,,,SCIELO:S1516-73132019000400927,,,,,,,,,,,,,,,,,,,,,,,,,,
db0018,Journal Article,2013,"Camargo de Arruda, Lucybeth",Fotógrafos e Fotografías na Seção de Estudos do Serviço de Proteção aos Índios (Brasil),pt,Brasil,"Camargo de Arruda, Lucybeth. ""Fotógrafos e Fotografias na Seção de Estudos do Serviço de Proteção aos índios (Brasil)"". Memoria y sociedad 17, no. 34 (2013): 50-67.","Serviço de Proteção aos Índios (SPI), fotógrafos da Seção de Estudos (SE), Harald Schultz, Heinz Foerthmann",,,Memoria y Sociedad,,0122-5197,,,50-67,34,17,,,,,,SCIELO:S0122-51972013000100004,,,,,,,,,,,,,,,,,,,,,,,,,,
db0019,Journal Article,2007,"Almeida Jr., Antonio Ribeiro de; Andrade, Thales Novaes de","Percepção ambiental sobre as mudanças climáticas globais numa praça pública na cidade do Rio de Janeiro (RJ, Brasil)",pt,Brasil,,,Ambiente; Consumo; Mídia; Publicidade,,Ambiente & Sociedade,,1809-4422,10.1590/S1414-753X2007000100007,,107-120,1,10,,,,,,SCIELO:S1414-753X2007000100007,,/Users/juliabelden/Zotero/storage/4VNYCF44/Almeida Jr. and Andrade - 2007 - Publicidade e ambiente alguns contornos.pdf; /Users/juliabelden/Zotero/storage/BUMHPZF9/Almeida Jr. and Andrade - 2007 - .pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0020,Journal Article,2017,"Garré, Bárbara Hees; Corrêa Henning, Paula",DISCURSO DA CRISE AMBIENTAL NA MÍDIA IMPRESSA,pt,Brasil,"Garré, Bárbara Hees; Henning, Paula Corrêa DISCURSO DA CRISE AMBIENTAL NA MÍDIA IMPRESSA1 Educação em Revista, vol. 33, e138587, 2017, Janeiro-Dezembro",Crise ambiental; Environmental crisis; Estudos Foucaultianos.; Foucault studies.; Mídia impressa; Printed media,,"O artigo problematiza o discurso de crise ambiental na atualidade. A partir de algumas ferramentas da análise do discurso foucaultiana, discute-se um dos enunciados que compõe o discurso aqui investigado: o “Terror e medo pela perda do Planeta”. O estudo toma como corpus discursivo a revista Veja, especialmente reportagens produzidas a partir de 2001, em que enunciações ocupadas por terror e medo se tornam evidentes na mídia em análise. Discussões acerca do medo em Zigmunt Bauman, biopoder/biopolítica em Michel Foucault e cultura a partir de estudiosos do campo da Educação Ambiental são tomados como aportes teóricos desse estudo. Nas reportagens em evidência, há um forte chamamento para riscos e perigos quanto à continuidade de vida na Terra atrelado ao convite para que participemos da grande campanha mundial. Pensarmos possibilidades de enfrentar medos líquidos modernos, produzindo outros modos de nos relacionarmos com o ambiente, é um dos desafios dessa pesquisa. This article addresses the current environmental crisis discourse. Based on some of Foucault’s discourse analysis tools, one of the statements that compose the discussed discourse is the “Terror and fear of the loss of the planet.” The study takes Veja magazine as its discursive corpus, especially articles produced since 2001, where enunciations occupied by terror and fear become evident in the media under analysis. Discussions about fear in Zigmunt Bauman; biopower / biopolitics in Foucault and culture based on environmental education scholars are used as theoretical contributions in this study. In the chosen articles, there is a strong call to the risks and dangers to continuity of life on Earth, connected to an invitation to joining a great global campaign. One of the challenges of this research is to reflect about possibilities of confronting our modern liquid fears and to produce other ways of relating with the environment.",Educação em Revista - UFMG,,0102-4698,,https://www.redalyc.org/articulo.oa?id=399362370004,,,33,,,,,Redalyc,,,/Users/juliabelden/Zotero/storage/KMULVMW2/Garré and Henning - 2017 - DISCURSO DA CRISE AMBIENTAL NA MÍDIA IMPRESSA.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0021,Journal Article,2015,"Marzochi, Samira Feldman",O “animal eletrônico”: dilemas do ciberativismo verde,pt,Brasil,,Cultura política. Comunicação. Esfera pública. Ambientalismo. Novas tecnologias. Des-territorialização,Ambientalismo; Comunicação; Cultura Política; Desterritorialização; Esfera Pública; Novas Tecnologias,"Combinando as principais contribuições teóricas do Estruturalismo, Fenomenologia e Teoria Crítica, este artigo parte do pressuposto de que a vulgarização do termo “rede” tem contribuído para um entendimento apologético de fenômenos contemporâneos relacionados ao tema da política e da comunicação, incluindo-se a prática do “ciberativismo”. No intuito de retirar a carga ideológica do conceito, o artigo pincela as mudanças nas relações entre indivíduo e esfera pública desde a Grécia antiga, passando pela industrialização, até deter-se na modernidade contemporânea. A partir desta contextualização teórica e histórica, foi possível analisar criticamente a correspondência, presente no senso comum, entre “ciberespaço” e esfera pública, “ciberativista” e sujeito político, bem como apontar a virtualização da natureza e das questões ambientais, perpetrada pelas campanhas de organizações não governamentais. Assim, é apresentado o conceito de “animal eletrônico” como alegoria de uma “antipolítica”, da ausência da dimensão política que caracteriza os homens, os distingue entre si e do r eino natural.",Caderno CRH,,"0103-4979, 1983-8239",10.1590/S0103-49792015000100009,https://www.scielo.br/j/ccrh/a/sy6T5Stf86pxWGNpfXZX5Hh/?lang=pt,127-145,,28,,,,,,,Publisher: Universidade Federal da Bahia - Faculdade de Filosofia e Ciências Humanas - Centro de Recursos Humanos,/Users/juliabelden/Zotero/storage/ICNEY5UR/Marzochi - 2015 - O “animal eletrônico” dilemas do ciberativismo verdeThe ‘electronic animal’ dilemmas of green cybe.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0022,Journal Article,2023,"Lengert, Mathias; Moraes, Cláudia Herte de",The new rural economy in the discourse about sustainability in the Globo Rural magazine,en,Brasil,,,Journalism; Discursive framework; Globo Rural; Specialized magazines; Sustainable agriculture,"Resumo Neste estudo, observamos a articulação e construção discursiva sobre o tema da agricultura de base ecológica nas reportagens de capa da revista Globo Rural. Temos como objetivo geral identificar como a revista Globo Rural constrói o discurso sobre agriculturas de base ecológica ao atuar no tensionamento entre os discursos que aí circulam. A partir dos trajetos de sentidos aliados ao enquadramento discursivo, refletimos sobre os aspectos socioculturais no dizer da revista. A partir deles, notamos a dominação da racionalidade econômica, que busca esvaziar ideologicamente o discurso do ambientalismo. Assim, observamos a operacionalização da “nova economia do campo” enquanto enquadramento discursivo de Globo Rural, fundamentado nas lógicas de mercado da ruralidade hegemônica e na apropriação do ideário ecológico de algumas ruralidades contra-hegemônicas.",Intercom: Revista Brasileira de Ciências da Comunicação,,"1809-5844, 1980-3508",10.1590/1809-58442023103en,https://www.scielo.br/j/interc/a/6p9QFqbmYKRFNp6LStW9Cmw/?lang=en,e2023103,,46,,,,,,,Publisher: Sociedade Brasileira de Estudos Interdisciplinares da Comunicação (INTERCOM),/Users/juliabelden/Zotero/storage/BYCYW4V5/Lengert and Moraes - 2023 - The new rural economy in the discourse about sustainability in the Globo Rural magazine.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0023,Journal Article,2007,"Mucelin, Carlos Alberto; Bellini, Luzia Marta",A percepção ambiental urbana com uso de imagens fotográficas: um instrumento semiótico denominado Jogo da Percepção,pt,Brasil,,"percepção, semiótica, ambiente urbano, imagem",Análise Semiótica. Percepção. Ambiente Urbano.,"This article about signs of urban environmental perception was developed in the city of Medianeira, Southwestern Paraná – Brazil. Part of perceptive information of local social actors was obtained by means of analysis of photographic images with the use of a new investigation instrument that we named Game of the Perception. The activity of the Game encouraged the participating social actors to observe the context of the local environment and perceptually judge practices and habits of the city population, and also experience odd situations on effective practices and use of the environment.",Discursos Fotograficos,,1984-7939,10.5433/1984-7939.2007v3n3p221,https://ojs.uel.br/revistas/uel/index.php/discursosfotograficos/article/view/1501,221-248,3,3,,,Copyright (c) 0,,,,Number: 3,/Users/juliabelden/Zotero/storage/C8G2LVYJ/Mucelin and Bellini - 2007 - A percepção ambiental urbana com uso de imagens fotográficas um instrumento semiótico denominado Jo.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0024,Journal Article,2011,"Silva, Leandro Londero da; Pimentel, Naida Lena; Terrazzan, Eduardo",As analogias na revista de divulgação científica Ciência hoje das crianças,pt,Brasil,,Analogias. Ensino de Ciências. Divulgação científica. Ciência Hoje das Crianças,Divulgação científica; Analogias; Ciência Hoje das Crianças; Ensino de Ciências,"Investigamos a frequência de utilização de analogias nos artigos da revista de divulgação científica brasileira Ciência Hoje das Crianças. Nos 143 números publicados até fevereiro de 2004, encontramos 136 apresentações analógicas em 88 artigos, e as classificamos segundo três dos critérios sugeridos por Curtis e Reigeluth (1984): 44,7% são do tipo funcional; 86,5%, do verbal, e 51,1% têm análogo trabalhado durante o desenvolvimento do alvo. Constatamos que o número de analogias variou de maneira não uniforme, sendo que a maior frequência de utilização ocorreu em 1995, quando mapeamos trinta apresentações. Quanto ao grau de concordância com o modelo Teaching with Analogies, verificamos que o estabelecimento de correspondências entre alvo e análogo não é contemplado em 58,9% dos casos, e a identificação dos limites de validade do análogo não o é em 92,2%.",Ciência & Educação (Bauru),,"1516-7313, 1980-850X",10.1590/S1516-73132011000100011,https://www.scielo.br/j/ciedu/a/khm3sTcZFD9GwYbSQbHV9Zb/?lang=pt,163-181,,17,,,,,,,"Publisher: Programa de Pós-Graduação em Educação para a Ciência, Universidade Estadual Paulista (UNESP), Faculdade de Ciências, campus de Bauru.",/Users/juliabelden/Zotero/storage/YWPE3893/Silva et al. - 2011 - As analogias na revista de divulgação científica Ciência hoje das crianças.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0025,Journal Article,2019,"Barros, Antonio Teixeira De",THE THEORETICAL DIALOGUE BETWEEN ENVIRONMENTAL COMMUNICATION AND SOCIAL SCIENCES IN THE LOGIC OF SCIENCE IN ACTION,en,Brasil,,,Environmental communication; Interdisciplinarity; Science in action; social science and environmental communication,"Abstract This article examines how the theoretical repertoires of the social sciences are managed by the researchers in environmental communication/journalism and how the theoretical arguments are appropriated in the applied studies. The corpus of analysis comprises 492 scientific communications presented by researchers of the Brazilian Society of Interdisciplinary Communication Studies (Intercom) in the period of 2001-2016, in addition to 36 interviews. The conclusions highlight: the historical contribution of the social sciences to the formation of the academic field of communication; the epistemic proximity between the social sciences and communication/journalism; the valorization of the use of this repertoire by environmental communication/journalism researchers. The interviews reinforce the interdisciplinary nature of environmental communication, the epistemic and methodological proximity to the social sciences, the plurality of actors involved and the consolidation of an already established way of doing research by Intercom scholars in its 40 years of operation.",Ambiente & Sociedade,,"1414-753X, 1809-4422",10.1590/1809-4422asoc0008r1vu18L4AO,https://www.scielo.br/j/asoc/a/Q56Nyb8TC7WdkhTKjZ8LhHq/?lang=en,,,21,,,,,,,Publisher: ANPPAS - Revista Ambiente e Sociedade,/Users/juliabelden/Zotero/storage/88H2QV56/Barros - 2019 - THE THEORETICAL DIALOGUE BETWEEN ENVIRONMENTAL COMMUNICATION AND SOCIAL SCIENCES IN THE LOGIC OF SCI.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0026,Journal Article,2015,"Polli, Gislei Mocelin; Camargo, Brigido Vizeu",Social Representations of the Environment in Press Media,en,Brasil,,,communication; social psychology; social representation,"Environmental issues are given prominence in the media and scientific circles. From the 60’s until early 2010 there were changes in the way people related to the environment, with a paradigm shift occurring regarding the environment. This study sought to identify the representational content disseminated by the press media on the environment in different periods. A qualitative survey was therefore conducted of documents, and data were obtained through texts published in a magazine with national circulation. The data were analyzed using the ALCESTE program with a Lexicographic Analysis. It was identified that the press media reflects the paradigm shifts, and publications dating from the late 60’s are compatible with the old paradigm, evolving over time, and are now compatible with the new environmental paradigm. The results indicate that currently the environment needs care in all its aspects and lack of care creates global impacts.",Paidéia (Ribeirão Preto),,"0103-863X, 1982-4327",10.1590/1982-43272561201514,https://www.scielo.br/j/paideia/a/wnhsX7NwrPbXW7bd8NXvhrL/?lang=en,261-269,,25,,,,,,,"Publisher: Universidade de São Paulo, Faculdade de Filosofia Ciências e Letras de Ribeirão Preto, Programa de Pós-Graduação em Psicologia",/Users/juliabelden/Zotero/storage/QBUSK44L/Polli and Camargo - 2015 - Social Representations of the Environment in Press Media.pdf,,,,,,,,,,,,,,,,,,,,,,,,
db0027,Journal Article,2016,"Martirani, Laura Alves; Peres, Isabela Kojin","Water crisis in São Paulo: news coverage, public perception and the right to information",en,Brasil,,,Media; Public Sphere; Water,"Abstract Based on materials published by different media outlets on the coverage of water crisis which affected the region of São Paulo in 2014 and on the concept of publizistikwissenschaft, this article seeks to evaluate the process of information construction in the public sphere. It appears that major media outlets embraced 'news' frameworks, while smaller and independent media adopted 'interpretative' frameworks. The former emphasized the problem of climate change and issues related to water consumption, while the latter stressed the lack of transparency of the state government and the sanitation company in managing the crisis and, together with social movements, they brought proposals and made demands. We conclude that although there was a process of extensive media coverage and public awareness of the problem of water supply, some aspects were silenced and that this process remained inadequate in terms of accounting for the structural causes involving security and the governance of water.",Ambiente & Sociedade,,"1414-753X, 1809-4422",10.1590/1809-4422ASOC150111R1V1912016,https://www.scielo.br/j/asoc/a/BZRdNRCRyX7myhNBZTNLwkD/?lang=en,01-20,,19,,,,,,,Publisher: ANPPAS - Revista Ambiente e Sociedade,"/Users/juliabelden/Zotero/storage/UDY457AH/Martirani and Peres - 2016 - Water crisis in São Paulo news coverage, public perception and the right to information.pdf",,,,,,,,,,,,,,,,,,,,,,,,
db0028,Journal Article,2020,"Fante, EM; De Moraes, CH; Lengert, M",Porto Alegre e a mudança climática: abordagens do jornalismo local na construção da resiliência,pt,Brasil,,"jornalismo, mudança climática, cidades, resiliência, mitigação,adaptação",,,Chasqui. Revista Latinoamericana de Comunicación,,1390-1079,,,109-124,144,,,,,,,WOS:000607127900007,,,,,,,,,,,,,,,,,,,,,,,,,,
db0029,Journal Article,2017,"De Lima, MD; Fort, MC; Avila, OC; Gern, A; Fiebig, MF","Journalistic Emphases in the COP 21 (2015) Coverage in the American, Brazilian and French Versions of The Huffington Post Site",pt,Brasil,,,,,Desenvolvimento e Meio Ambiente,,1518-952X,,,77-99,,40,,,,,,WOS:000411068500005,,,,,,,,,,,,,,,,,,,,,,,,,,
db0030,Journal Article,2023,"Souza, Amanda Franco de; Miguel, Katarini",JORNALISMO MIDIATIVISTA AMBIENTAL: contribuições de uma análise de cobertura jornalística da Amazônia Real,pt,Brasil,,,Journalistic Coverage Analysis,"ABSTRACT – Our research aims to understand and problematize the proximity between environmental journalism and media activist practice based on the journalistic coverage analysis (Silva &amp; Maia, 2011) of the Amazônia Real portal, adapted to our empirical efforts in a media activist environmental journalism protocol. Within the limits of this article, we presented an analytical exercise with two reports that showed the assumptions of environmental journalism: emphasis on contextualization, plurality of voices, assimilation of environmental knowledge (Loose &amp; Girardi, 2017) and the discursive tactics of media activism, with engagement and opinion revealed in what we call the manifesto report. However, we noticed the underutilization of technological resources and the presentation of events in a conventional narrative structure, which strains the praxis of media activist environmental journalism. RESUMO – Nossa pesquisa busca entender e problematizar as proximidades entre o jornalismo ambiental e a prática midiativista a partir da análise de cobertura jornalística (Silva &amp; Maia, 2011) do portal Amazônia Real, adaptada aos nossos esforços empíricos em um protocolo de jornalismo ambiental midiativista. Apresentamos, nos limites deste artigo, um exercício analítico com duas reportagens que evidenciaram os pressupostos do jornalismo ambiental: ênfase na contextualização, pluralidade de vozes, assimilação do saber ambiental (Loose &amp; Girardi, 2017) e as táticas discursivas do midiativismo, com o engajamento e a opinião revelados no horizonte do que denominamos de reportagem-manifesto. Contudo, notamos o subaproveitamento dos recursos tecnológicos e apresentação dos acontecimentos em uma estrutura narrativa convencional, que tensionam a práxis do jornalismo ambiental midiativista. RESUMEN – Nuestra investigación busca comprender y problematizar la proximidad entre el periodismo ambiental y la práctica activista de los medios, a partir del análisis de cobertura periodística (Silva &amp; Maia, 2011) del portal Amazônia Real, adaptado para el estudio empírico mediante un protocolo de aproximación al periodismo ambiental activista. Presentamos, dentro de los límites de este artículo, un ejercicio analítico con dos reportajes en los que aparecen los supuestos del periodismo ambiental: énfasis en la contextualización, pluralidad de voces, asimilación del conocimiento ambiental (Loose &amp; Girardi, 2017) y las tácticas discursivas del activismo mediático, con compromiso y opinión revelados en lo que llamamos un reportaje manifiesto. Sin embargo, observamos la subutilización de los recursos tecnológicos y la presentación de los acontecimientos en una estructura narrativa convencional, lo que genera tensiones en la praxis del periodismo medioambiental activista en los medios.",Brazilian Journalism Research,,1981-9854,10.25200/BJR.v19n3.2023.1601,https://bjr.sbpjor.org.br/bjr/article/view/1601,e1601-e1601,3,19,,,Copyright (c) 2023 Brazilian journalism research,,,,Number: 3,/Users/juliabelden/Zotero/storage/6A835EAR/Educação ambiental e mudanças climáticas- análise do Programa Escolas Sustentáveis.pdf; /Users/juliabelden/Zotero/storage/XZECHBRX/Souza and Miguel - 2023 - JORNALISMO MIDIATIVISTA AMBIENTAL contribuições de uma análise de cobertura jornalística da Amazôni.pdf,,,,,,,,,,,,,,,,,,,,,,,,
